cnd.lexer,CDDL-GPL-2-CP
cnd.makeproject,CDDL-GPL-2-CP
cnd.makeproject.source.bridge,CDDL-GPL-2-CP
cnd.makeproject.ui,CDDL-GPL-2-CP
cnd.mixeddev,CDDL-GPL-2-CP
cnd.model.jclank.bridge,CDDL-GPL-2-CP
cnd.model.services,CDDL-GPL-2-CP
cnd.modeldiscovery,CDDL-GPL-2-CP
cnd.modelimpl,CDDL-GPL-2-CP
cnd.modelimpl, EPL-v10
cnd.modelui,CDDL-GPL-2-CP
cnd.modelutil,CDDL-GPL-2-CP
cnd.navigation,CDDL-GPL-2-CP
cnd.qnavigator,CDDL-GPL-2-CP
cnd.refactoring,CDDL-GPL-2-CP
cnd.remote,CDDL-GPL-2-CP
cnd.remote, TBD
cnd.remote.projectui,CDDL-GPL-2-CP
cnd.remote.ui,CDDL-GPL-2-CP
cnd.repository,CDDL-GPL-2-CP
cnd.repository.api,CDDL-GPL-2-CP
cnd.script,CDDL-GPL-2-CP
cnd.search,CDDL-GPL-2-CP
cnd.simpleunit,CDDL-GPL-2-CP
cnd.source,CDDL-GPL-2-CP
cnd.spellchecker.bindings,CDDL-GPL-2-CP
cnd.testrunner,CDDL-GPL-2-CP
cnd.toolchain,CDDL-GPL-2-CP
cnd.toolchain.ui,CDDL-GPL-2-CP
cnd.ui,CDDL-GPL-2-CP
cnd.utils,CDDL-GPL-2-CP
cnd.utils.ui,CDDL-GPL-2-CP
code.analysis,CDDL-GPL-2-CP
coherence,CDDL-GPL-2-CP
collab.channel.chat,CDDL-GPL-2-CP
collab.channel.chat.html,CDDL-GPL-2-CP
collab.channel.chat.java,CDDL-GPL-2-CP
collab.channel.chat.text,CDDL-GPL-2-CP
collab.channel.chat.xml,CDDL-GPL-2-CP
collab.channel.filesharing,CDDL-GPL-2-CP
collab.channel.output,CDDL-GPL-2-CP
collab.kit,CDDL-GPL-2-CP
collab.provider.im,CDDL-GPL-2-CP
collab.provider.im,collab.provider.im, LGPL-2.1
collab.provider.im,collab.provider.im,collab.provider.im,collab.ui,CDDL-GPL-2-CP
contrib,CDDL-GPL-2-CP
cordova,CDDL-GPL-2-CP
cordova.platforms,CDDL-GPL-2-CP
cordova.platforms.android,CDDL-GPL-2-CP
cordova.platforms.ios,CDDL-GPL-2-CP
cordova.platforms.ios, MIT-sim
cordova.platforms.ios, LGPL-2.1
cordova.platforms.ios, LGPL-2.1
cordova.platforms.ios, LGPL-2.1
core.browser,CDDL-GPL-2-CP
core.browser.webview,CDDL-GPL-2-CP
core.browser.webview.jfxplatformbridge,CDDL-GPL-2-CP
core.execution,CDDL-GPL-2-CP
core.ide,CDDL-GPL-2-CP
core.io.ui,CDDL-GPL-2-CP
core.kit,CDDL-GPL-2-CP
core.multitabs,CDDL-GPL-2-CP
core.multitabs.project,CDDL-GPL-2-CP
core.multiview,CDDL-GPL-2-CP
core.nativeaccess,CDDL-GPL-2-CP
core.netigso,CDDL-GPL-2-CP
core.network,CDDL-GPL-2-CP
core.network, LGPL-2.1
core.osgi,CDDL-GPL-2-CP
core.output2,CDDL-GPL-2-CP
core.startup,CDDL-GPL-2-CP
core.startup.base,CDDL-GPL-2-CP
core.ui,CDDL-GPL-2-CP
core.windows,CDDL-GPL-2-CP
csl.api,CDDL-GPL-2-CP
csl.types,CDDL-GPL-2-CP
css.editor,CDDL-GPL-2-CP
css.editor, W3C (the original at http://www.w3.org/TR/CSS21/)
css.editor, W3C (the original at http://www.w3.org/Style/CSS/current-work)
css.lib,CDDL-GPL-2-CP
css.model,CDDL-GPL-2-CP
css.prep,CDDL-GPL-2-CP
css.visual,CDDL-GPL-2-CP
db,CDDL-GPL-2-CP
db, Apache-2.0
db.core,CDDL-GPL-2-CP
db.dataview,CDDL-GPL-2-CP
db.drivers,CDDL-GPL-2-CP
db.drivers, GPL
db.drivers, BSD-postgresql
db.kit,CDDL-GPL-2-CP
db.metadata.model,CDDL-GPL-2-CP
db.mysql,CDDL-GPL-2-CP
db.mysql.sakila,CDDL-GPL-2-CP
db.sql.editor,CDDL-GPL-2-CP
db.sql.visualeditor,CDDL-GPL-2-CP
db.sql.visualeditor, BSD
dbapi,CDDL-GPL-2-CP
dbschema,CDDL-GPL-2-CP
deadlock.detector,CDDL-GPL-2-CP
debugger.jpda,CDDL-GPL-2-CP
debugger.jpda.ant,CDDL-GPL-2-CP
debugger.jpda.heapwalk,CDDL-GPL-2-CP
debugger.jpda.js,CDDL-GPL-2-CP
debugger.jpda.jsui,CDDL-GPL-2-CP
debugger.jpda.kit,CDDL-GPL-2-CP
debugger.jpda.projects,CDDL-GPL-2-CP
debugger.jpda.projectsui,CDDL-GPL-2-CP
debugger.jpda.truffle,CDDL-GPL-2-CP
debugger.jpda.truffle, GPL-2-CP
debugger.jpda.trufflenode,CDDL-GPL-2-CP
debugger.jpda.ui,CDDL-GPL-2-CP
debugger.jpda.visual,CDDL-GPL-2-CP
defaults,CDDL-GPL-2-CP
deployment.deviceanywhere,CDDL-GPL-2-CP
deployment.wm,CDDL-GPL-2-CP
derby,CDDL-GPL-2-CP
diff,CDDL-GPL-2-CP
dlight.kit,CDDL-GPL-2-CP
dlight.libs.common,CDDL-GPL-2-CP
dlight.nativeexecution,CDDL-GPL-2-CP
dlight.nativeexecution, TBD
dlight.nativeexecution.nb,CDDL-GPL-2-CP
dlight.remote,CDDL-GPL-2-CP
dlight.remote.impl,CDDL-GPL-2-CP
dlight.remote.impl, TBD
dlight.remote.ui,CDDL-GPL-2-CP
dlight.sendto,CDDL-GPL-2-CP
dlight.terminal,CDDL-GPL-2-CP
docker.api,CDDL-GPL-2-CP
docker.editor,CDDL-GPL-2-CP
docker.ui,CDDL-GPL-2-CP
editor,CDDL-GPL-2-CP
editor.actions,CDDL-GPL-2-CP
editor.bookmarks,CDDL-GPL-2-CP
editor.bracesmatching,CDDL-GPL-2-CP
editor.breadcrumbs,CDDL-GPL-2-CP
editor.codetemplates,CDDL-GPL-2-CP
editor.completion,CDDL-GPL-2-CP
editor.deprecated.pre65formatting,CDDL-GPL-2-CP
editor.document,CDDL-GPL-2-CP
editor.errorstripe,CDDL-GPL-2-CP
editor.errorstripe.api,CDDL-GPL-2-CP
editor.fold,CDDL-GPL-2-CP
editor.fold.nbui,CDDL-GPL-2-CP
editor.global.format,CDDL-GPL-2-CP
editor.guards,CDDL-GPL-2-CP
editor.indent,CDDL-GPL-2-CP
editor.indent.project,CDDL-GPL-2-CP
editor.indent.support,CDDL-GPL-2-CP
editor.kit,CDDL-GPL-2-CP
